recycle_centre,waste_type,longtitude,latitude
A1 Cheapest Rubbish Removal,battery,144.963308,-37.84933419
A1 Cheapest Rubbish Removal,mattresses,144.963308,-37.84933419
A1 Cheapest Rubbish Removal,cardboard,144.963308,-37.84933419
Ab Recycling Ringwood,cardboard,145.2194069,-37.81983723
Ab Recycling Camperfield,cardboard,144.9663977,-37.6572899
Aldi Ararat ,battery,142.9327298,-37.28442502
Aldi Burwood East,battery,145.1510585,-37.85335305
Aldi Carnegie,battery,145.0582455,-37.88430619
Aldi Chadstone,battery,145.0839049,-37.88610549
Aldi Epping Dalton Rd,battery,145.0298193,-37.65919002
Aldi Epping Harvest Home,battery,145.0064913,-37.62160509
Aldi Epping High St,battery,145.0164543,-37.65481764
Aldi Glen Waverley,battery,145.1650218,-37.8747952
Aldi Mill Park,battery,145.0701998,-37.65104625
Aldi South Melbourne,battery,144.9570069,-37.82971687
Aldi The Pines,battery,145.1693647,-37.76152683
Aldi Wallan,battery,144.9779543,-37.41767431
Aldi Box Hill South,battery,145.1209433,-37.82931972
Aldi Eltham,battery,145.1501583,-37.71264497
Aldi Ringwood,battery,145.2230534,-37.81569386
Aldi Templestowe Lower,battery,145.1119373,-37.77296081
Ararat Transfer Station,battery,142.9301187,-37.29701218
Atlas Waste And Recycling Management Pty Ltd,cardboard,144.7823849,-37.79404889
Australian Paper Recovery Dandenong,cardboard,145.1973121,-38.02097484
Banyule Waste Recovery Centre,battery,145.044913,-37.75614736
Battery World Dandenong,battery,145.2214674,-37.98714473
Battery World Frankston,battery,145.1319697,-38.13870076
Battery World Greensborough,battery,145.1186379,-37.70041889
Battery World Hoppers Crossing,battery,144.7317491,-37.85960716
Battery World Lilydale,battery,145.3461745,-37.74220008
Battery World Mentone,battery,145.0738386,-37.96116355
Battery World Wantirna,battery,145.224214,-37.83383134
Bellfield Waste Recovery Centre ,cardboard,145.0449559,-37.75613902
Bellfield Waste Recovery Centre ,mattresses,145.0449559,-37.75613902
Bolinda Road Resource Recovery Centre,mattresses,144.9649564,-37.6842748
Bolinda Road Resource Recovery Centre,battery,144.9649564,-37.6842748
Bunnings Chadstone,battery,145.0933565,-37.8668859
Bunnings Moorabbin,battery,145.0816835,-37.93569595
Bunnings Notting Hill,battery,145.1235689,-37.88368799
Bunnings Oakleigh,battery,145.0878633,-37.90536244
Bunnings Warehouse Craigieburn,battery,144.9419149,-37.58196678
Bunnings Warehouse Epping ,battery,145.0042409,-37.64785919
Bunnings Warehouse Mernda Warehouse,battery,145.0931222,-37.60419575
