locality_name,postcode,council_name
Abbeyard,3737,Alpine Shire Council
Barwidgee,3737,Alpine Shire Council
Bogong,3699,Alpine Shire Council
Bright,3741,Alpine Shire Council
Buckland,3740,Alpine Shire Council
Buffalo River,3737,Alpine Shire Council
Coral Bank,3691,Alpine Shire Council
Dederang,3691,Alpine Shire Council
Dinner Plain,3898,Alpine Shire Council
Eurobin,3739,Alpine Shire Council
Freeburgh,3741,Alpine Shire Council
Gapsted,3737,Alpine Shire Council
Germantown,3741,Alpine Shire Council
Glen Creek,3691,Alpine Shire Council
Gundowring,3691,Alpine Shire Council
Harrietville,3741,Alpine Shire Council
Havilah,3737,Alpine Shire Council
Hotham Heights,3741,Alpine Shire Council
Kancoona,3691,Alpine Shire Council
Kergunyah South,3691,Alpine Shire Council
Merriang,3737,Alpine Shire Council
Merriang South,3737,Alpine Shire Council
Mongans Bridge,3691,Alpine Shire Council
Mount Beauty,3699,Alpine Shire Council
Mount Buffalo,3740,Alpine Shire Council
Mudgegonga,3737,Alpine Shire Council
Myrtleford,3737,Alpine Shire Council
Nug Nug,3737,Alpine Shire Council
Ovens,3738,Alpine Shire Council
Porepunkah,3740,Alpine Shire Council
Rosewhite,3737,Alpine Shire Council
Running Creek,3691,Alpine Shire Council
Smoko,3741,Alpine Shire Council
Tawonga,3697,Alpine Shire Council
Tawonga South,3698,Alpine Shire Council
Upper Gundowring,3691,Alpine Shire Council
Wandiligong,3744,Alpine Shire Council
Ararat,3377,Ararat Rural City Council
Armstrong,3377,Ararat Rural City Council
Ballyrogan,3375,Ararat Rural City Council
Bayindeen,3375,Ararat Rural City Council
Black Range,3381,Ararat Rural City Council
Bornes Hill,3379,Ararat Rural City Council
Buangor,3375,Ararat Rural City Council
Carranballac,3361,Ararat Rural City Council
Cathcart,3377,Ararat Rural City Council
Chatsworth,3379,Ararat Rural City Council
Crowlands,3377,Ararat Rural City Council
Denicull Creek,3377,Ararat Rural City Council
Dobie,3377,Ararat Rural City Council
Dunneworthy,3377,Ararat Rural City Council
Elmhurst,3469,Ararat Rural City Council
Eversley,3377,Ararat Rural City Council
Glenlogie,3469,Ararat Rural City Council
Glenthompson,3293,Ararat Rural City Council
Great Western,3374,Ararat Rural City Council
Lake Bolac,3351,Ararat Rural City Council
Langi Logan,3377,Ararat Rural City Council
Mafeking,3379,Ararat Rural City Council
