street_name,council_name,landfill_frequency,landfill_next,recycle_frequency,recycle_next,green_frequency,green_next
Taylor Court,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Alkera Road,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
White Swan Road,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Allens Road,Warrenheip,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Coulsons Road,Warrenheip,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Arapiles Street,Nerrina,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Ashford Court,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Bakers Road,Canadian,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Eureka Street,Warrenheip,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Banksia Street,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Benson Street,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Bogong Avenue,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Alkera Road,Nerrina,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Boroka Street,Nerrina,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Boronia Road,Nerrina,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Botanic Drive,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Bush Inn Road,Wattle Flat,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Canton Court,Canadian,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Caroline Court,Nerrina,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Carramar Drive,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Cashel Court,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Casey Close,Black Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Clara Court,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Club Crescent,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Moola Street,Black Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Cochrane Court,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Cootamundra Road,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Old Midland Highway,Mount Rowan,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Rose Hill Road,Mount Rowan,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Midland Highway,Mount Rowan,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Curragh Court,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Cypress Road,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Danehill Court,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Davies Road,Canadian,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Dawes Road,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Daylesford Road,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Stringybark Drive,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Delmela Court,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Ditchfield Road,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Ditchfield Lane,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Doodts Road,Black Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Doodts Road,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Doodts Road,Nerrina,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Dorringtons Road,Warrenheip,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Doveton Street North,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Downing Drive,Canadian,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Duggan Street,Black Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Eagle Court,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Ellerslie Drive,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Elsworth Street East,Canadian,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Eucalyptus Drive,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Fairway Court,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Farrells Road,Warrenheip,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Fernbanks Court,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Noble Court,Mount Rowan,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Geelong Road,Canadian,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Geelong Road,Mount Clear,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Gillies Road,Mount Rowan,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Glenelg Street,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Glenisla Road,Nerrina,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Golf View Drive,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Clarks Road,Glen Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Gracefield Road,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Handford Court,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Havelock Street,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Haymes Road,Mount Clear,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Hearn Road,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Heinz Lane,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Hermitage Avenue,Mount Clear,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Highview Court,Black Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Hillcrest Road,Nerrina,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Hillside Drive,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Hill Top Road,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Hillview Road,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Hocking Avenue,Mount Clear,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Hocking Avenue,Canadian,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Howitt Street,Black Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Inglis Road,Warrenheip,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Jacksons Road,Warrenheip,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Western Highway,Warrenheip,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Janson Road,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Jenna Court,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Jedon Court,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Kenmare Crescent,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Kenvarra Court,Black Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Kildare Court,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Kinnersley Avenue,Canadian,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Kylie Court,Mount Clear,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Lake View Court,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Landsborough Street,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Lemuela Court,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Leonards Road,Warrenheip,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Leonards Road East,Warrenheip,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Links Court,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Loader Court,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Lockett Avenue,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Lodge Close,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Lofven Street,Nerrina,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Loren Close,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Malbec Drive,Mount Clear,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Margaret Avenue,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Mathoura Place,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Millers Road,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Millford Court,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Milverton Lane,Canadian,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Moola Street,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Taronga Road,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Muscatel Street,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Nerrina Road,Nerrina,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Norman Street,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Norman Street,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Northwood Court,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Killarney Road,Warrenheip,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Olive Grove,Mount Clear,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Panorama Drive,Black Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Park View Court,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Philip Avenue,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Pistol Club Road,Mount Rowan,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Pistol Club Road,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Quinta Drive,Mount Clear,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Recreation Road,Mount Clear,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Regent Drive,Canadian,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Robert Drive,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Rose Hill Road,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Rumler Court,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Sangria Court,Mount Clear,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Sawyer Avenue,Canadian,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Scenic Crescent,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
S E C Road,Warrenheip,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Semillon Grove,Mount Clear,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Sherrard Street,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Silverwattle Drive,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Sim Street,Black Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Simpson Street,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Simpson Street,Black Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Slatey Creek Road,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Slatey Creek Road North,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Boundary Road,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Springs Road,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Suburban Avenue,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Swinglers Road,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Acacia Street,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Easy Street,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Tambo Road,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Tarawa Drive,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Teal Avenue,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Tennis Court Road,Warrenheip,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Ti Tree Road,Warrenheip,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
View Court,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
View Point Drive,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Vista Court,Black Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Walker Street,Black Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Walker Street,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Waranga Street,Nerrina,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Warrenheip Road,Warrenheip,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Melbourne Road,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Orchard Lane,Brown Hill,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Wicklow Drive,Invermay Park,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Woodside Court,Ballarat North,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Candlebark Lane,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Duggan Street,Nerrina,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Raynor Street,Nerrina,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Farmers Lane,Invermay,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Midas Road,Blowhard,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Midas Road,Miners Rest,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Millers Road,Bald Hills,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Slatterys Road,Bald Hills,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Masons Road,Ascot,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Ballarat - Maryborough Road,Ascot,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
Addington Road,Ascot,weekly,11/10/2023,fortnightly,11/10/2023,fortnightly,18/10/2023
