council_name,street_name,landfill_frequency,landfill_next,recycle_frequency,recycle_next,green_frequency,green_next
Clayton,Adaleigh Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Alice Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Arnott Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Atlantic Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Banksia Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Beleura Grove,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Belmont Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Bendix Drive,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Bettina Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Bimbi Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Browns Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Browns Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Brushbox Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Buckland Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Burton Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Cambro Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Cantala Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Carinish Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Caroline Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Cobain Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Colin Rd,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Collier Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Colonel Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Connam Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Cooke Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Dawson Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Dennis Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Dixon Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Donald Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Dooga Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Dunstan Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Edinburgh Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Eva Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Evelyn Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Faulkiner Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Flora Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Fortuna Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Francis Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Fregon Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Fulton Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Gentle Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Greenfield Drive,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Grovedale Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Harlington Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Haughton Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Hourigan Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Howard Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Iona Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Irwin Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Jaguar Drive,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Jean Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Kanooka Grove,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Kay Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Kionga Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Kumara Place,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Lantana Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Leaf Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Lillian Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Lindsay Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Luke Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Madeleine Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Manatunga Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Margaret Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Mary Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,McGregor Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,McNaughton Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Monash Green Drive,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Moriah Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Morrison Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Morton Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Murray Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Myriong Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Nicholson Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Ormond Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Panorama Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Parker Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Penn Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Prince Charles Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Prince Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Pullyn Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Robinson Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Rockbeare Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Rose Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Royalty Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Scotsburn Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Seascape Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Shady Mews,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Shandeau Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Thomas Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Thompson Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Torteval Place,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Treforest Drive,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,View Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Whitburn Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Winterton Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Wright Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Yarram Crescent,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Reid Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Riley Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Selworthy Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Sinclair Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Strelden Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Sumersett Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Talbot Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Taunton Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Terrigal Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Vivian Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Voumard Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Wallace Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Ward Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Windsor Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Mimosa Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Monash Place,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Murumba Drive,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Natalia Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Norma Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Nova Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Old Eastern Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Olinda Grove,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Paula Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Peter Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Picadilly Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Pitt Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Price Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Raven Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Redpath Close,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Eric Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Farm Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Fulton Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Golf Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Guest Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Hardy Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Jason Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Joyce Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Kaybrook Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Legon Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Loreen Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Manton Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,McBean Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Milgate Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Devoy Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Elata Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Carwell Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Cleek Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Colin Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Coombs Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Coonil Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Coora Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Dalgan Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Delia Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Delos Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Dermot Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Barholme Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Beryl Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Bossington Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Cameron Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Carinish Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Acacia Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Alleford Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Alvina Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Ashbrook Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Bakers Road,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Clarendon Avenue,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Germain Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Grange Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Myrtle Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Valley Street,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Oakleigh South,Wendy Court,fortnightly,20/10/2023,fortnightly,13/10/2023,weekly,13/10/2023
Clayton,Garden Road,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Clayton,Murdo Road,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Clayton,Renver Road,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Clayton,Sarton Road,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Abbeydale Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Aboyne Close,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Acland Close,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Adare Close,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Adela Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Alderbrook Avenue,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Allen Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Alvanley Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Amblecote Crescent,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Andleigh Drive,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Andover Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Anfield Crescent,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
