street_name,council_name,green_frequency,green_next,landfill_frequency,landfill_next,recycle_frequency,recycle_next
Browns Road,Devon Meadows,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Seymour Road,Devon Meadows,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Facey Road,Devon Meadows,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Florian Way,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Principle Dr,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Echidna Pde,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Gunbower Cr,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Bookleaf Rd,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Ravensbourne Gr,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Saddleback Road,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Seedling Street,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Broadgreen Street,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Point Mews,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Seasons Drive,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Mockingbrid Street,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Hummingbird Drive,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Origin Av,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Berrybank Terrace,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Cinnabar Lane,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Lemongrass Street,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Cornflower Rise,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Riverrun Drive,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Stringyleaf Street,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Bottletree Road,Clyde,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Lindenderry Road,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Cockatoo Street,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Devon Road,Devon Meadows,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Enright Street,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Freycinet Drive,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Rawlings Road,Devon Meadows,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Ringtail Close,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Bankside Drive,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Bindarri Grove,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Nectar Road,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Tulloch St,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Coorong Street,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Teak Street,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Gumleaf Place,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Homevale Drive,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Platypus Rise,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Littabella Mews,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Auburn Grove,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Riverwood Drive,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Gumflats Way,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Celadon Grove,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Silverwood Street,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Altitude Drive,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Legacy Court,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Distinction Rise,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Villermont Drive,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Woodhaven Street,Clyde,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Ashcombe Tce,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Essence Rise,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Eldridge Close,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Coral Vine Road,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Bandicoot Blvd,Botanic Ridge,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Bower Vine Road,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Sherwood Road,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Junction Close,Devon Meadows,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Allegro Walk,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Clavier St,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Opera Walk,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Orchestra Lane,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Rhythm Lane,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Rondo St,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Sgh Service Road,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Treble St,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Vivaldi Dr,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Willoby Street,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Jennifer Street,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Sonata Way,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Glendoon Road,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Shaw Road,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Redwood Court,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
The Arcade,Junction Village,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
