street_name,council_name,green_frequency,green_next,landfill_frequency,landfill_next,recycle_frequency,recycle_next
Scott Street,Breamlea,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Blyth Street,Breamlea,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Green Street,Breamlea,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Horwood Drive,Breamlea,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Challis Avenue,Breamlea,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Vagg Street,Breamlea,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Whittington Street,Breamlea,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Breamlea Road,Breamlea,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Thirteenth Beach Road,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Stephens Parade,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Ewing Blyth Drive,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Lockington Crescent,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Bell Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Humble Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Rhondella Court,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Aitken Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Maffra Court,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Bostock Avenue,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Thirteenth Beach Road,Connewarre,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
George Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Milora Court,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Henley Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Bancoora Way,Armstrong Creek,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Golightly Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Campbell Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Ramsgate Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Patching Street,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Gill Road,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Grandview Parade,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Phelan Street,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Clubhouse Drive,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Clifford Parade,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Flinders Parade,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Grove Road,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Challis Lane,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Golf Links Road,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Reid Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Barnett Close,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Birrell Lane,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Challis Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Colite Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Hopgood Place,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Hitchcock Avenue,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Winders Lane,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Thompson Drive,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Kelsey Court,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Ozone Road,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Von Nida Avenue,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Snead Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Warwick Hill Drive,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Hogan Drive,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Diggorra Court,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Marrita Court,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Talbot Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Seaview Avenue,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Norman Crescent,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Seabank Drive,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Punt Road,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Lorna Place,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Mc Naught Street,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Mahala Street,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Margate Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Jasper Avenue,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Thorn Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Riverside Tce,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Riverside Terrace,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Black Swan Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Mooroopna Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Emily Street,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Noble Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
