street_name,council_name,landfill_frequency,landfill_next,recycle_frequency,recycle_next,green_frequency,green_next
Alkira Close,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Allambi Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Arunta Crescent,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Bataba Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Boree Avenue,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Borela Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Botany Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Broadchapel Place,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Bunney Road,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Christopher Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Cooinda Crescent,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Coral Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Crawford Road,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Crowfoot Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Dalbeattie Drive,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Darren Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Edwin Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Elder Street,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Elliminya Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Eulinga Road,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Fermont Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Inverness Street,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Kilara Place,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Leonard Close,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Lochmaben Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Lynian Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Melaleuca Drive,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Merrigum Crescent,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Merrigum Lane,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Nardoo Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Nardoo Lane,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Newcombe Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Nicole Close,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Raleigh Street,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Rosewall Place,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Schneider Crescent,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Shannon Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Springs Road,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Tatiara Avenue,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
The Parade,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Tomintoul Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Viney Street,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Wandoo Avenue,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Warsaw Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Watson Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Wayne Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Welwood Court,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Centre Road,Clarinda,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Clayton Road,Clarinda ,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Westall Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Alward Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Amos Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Andleon Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Aonach Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Ash Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Audsley Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Autumn Terrace,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Avoca Close,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Barringun Crescent,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Barton Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Barwon Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Bellavista Crescent,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Bellbrook Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Bemboka Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Beswick Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Bevan Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Bond Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Botanic Drive,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Brady Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Brandon Way,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Brentwood Close,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Brentwood Lane,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Bronwyn Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Browning Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Burns Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Byron Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Caringal Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Centre Lane,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
