year,Population,council,waste_pp,garbage_pp,recycle_pp,organic_pp,collect_type,amount,diversion_rate
2002,12788,Alpine Shire Council,0.236745386,0.183218642,0.053526744,0,total_garbage_collect,2343,0.226094137
2002,12788,Alpine Shire Council,0.236745386,0.183218642,0.053526744,0,total_recycle_actual,683,0.226094137
2002,12788,Alpine Shire Council,0.236745386,0.183218642,0.053526744,0,organic_collect,0,0.226094137
2002,12788,Alpine Shire Council,0.236745386,0.183218642,0.053526744,0,aluminium_collect,16.5,0.226094137
2002,12788,Alpine Shire Council,0.236745386,0.183218642,0.053526744,0,steel_collect,16.5,0.226094137
2002,12788,Alpine Shire Council,0.236745386,0.183218642,0.053526744,0,paper_collect,380,0.226094137
2002,12788,Alpine Shire Council,0.236745386,0.183218642,0.053526744,0,plastic_collect,60,0.226094137
2002,12788,Alpine Shire Council,0.236745386,0.183218642,0.053526744,0,total_glass_collect,210,0.226094137
2002,11521,Ararat Rural City Council,0.351483378,0.298085236,0.053398143,0,total_garbage_collect,3434.24,0.151922241
2002,11521,Ararat Rural City Council,0.351483378,0.298085236,0.053398143,0,total_recycle_actual,615.2,0.151922241
2002,11521,Ararat Rural City Council,0.351483378,0.298085236,0.053398143,0,organic_collect,0,0.151922241
2002,11521,Ararat Rural City Council,0.351483378,0.298085236,0.053398143,0,aluminium_collect,43.2,0.151922241
2002,11521,Ararat Rural City Council,0.351483378,0.298085236,0.053398143,0,steel_collect,0,0.151922241
2002,11521,Ararat Rural City Council,0.351483378,0.298085236,0.053398143,0,paper_collect,48.8,0.151922241
2002,11521,Ararat Rural City Council,0.351483378,0.298085236,0.053398143,0,plastic_collect,120,0.151922241
2002,11521,Ararat Rural City Council,0.351483378,0.298085236,0.053398143,0,total_glass_collect,403.2,0.151922241
2002,83000,Ballarat City Council,0.284301205,0.192771084,0.073493976,0.018036145,total_garbage_collect,16000,0.321947705
2002,83000,Ballarat City Council,0.284301205,0.192771084,0.073493976,0.018036145,total_recycle_actual,6100,0.321947705
2002,83000,Ballarat City Council,0.284301205,0.192771084,0.073493976,0.018036145,organic_collect,1497,0.321947705
2002,83000,Ballarat City Council,0.284301205,0.192771084,0.073493976,0.018036145,aluminium_collect,95,0.321947705
2002,83000,Ballarat City Council,0.284301205,0.192771084,0.073493976,0.018036145,steel_collect,234,0.321947705
2002,83000,Ballarat City Council,0.284301205,0.192771084,0.073493976,0.018036145,paper_collect,2872,0.321947705
2002,83000,Ballarat City Council,0.284301205,0.192771084,0.073493976,0.018036145,plastic_collect,541,0.321947705
2002,83000,Ballarat City Council,0.284301205,0.192771084,0.073493976,0.018036145,total_glass_collect,2358,0.321947705
2002,114222,Banyule City Council,0.319754513,0.16751589,0.095183065,0.057055558,total_garbage_collect,19134,0.476110944
2002,114222,Banyule City Council,0.319754513,0.16751589,0.095183065,0.057055558,total_recycle_actual,10872,0.476110944
2002,114222,Banyule City Council,0.319754513,0.16751589,0.095183065,0.057055558,organic_collect,6517,0.476110944
2002,114222,Banyule City Council,0.319754513,0.16751589,0.095183065,0.057055558,aluminium_collect,66,0.476110944
2002,114222,Banyule City Council,0.319754513,0.16751589,0.095183065,0.057055558,steel_collect,429,0.476110944
2002,114222,Banyule City Council,0.319754513,0.16751589,0.095183065,0.057055558,paper_collect,5842,0.476110944
2002,114222,Banyule City Council,0.319754513,0.16751589,0.095183065,0.057055558,plastic_collect,712,0.476110944
2002,114222,Banyule City Council,0.319754513,0.16751589,0.095183065,0.057055558,total_glass_collect,3823,0.476110944
2002,23175,Bass Coast Shire Council,0.326947141,0.219503776,0.107443366,0,total_garbage_collect,5087,0.328626105
2002,23175,Bass Coast Shire Council,0.326947141,0.219503776,0.107443366,0,total_recycle_actual,1932,0.328626105
2002,23175,Bass Coast Shire Council,0.326947141,0.219503776,0.107443366,0,organic_collect,0,0.328626105
